user_id,product_id,actual_price,average_rating,brand,category,crawled_at,discount,description,images,out_of_stock,pid,product_details,seller,selling_price,sub_category,title,url
1001,893e6980-f2a0-531f-b056-34dd63fe912c,"1,499",3.9,York,Clothing and Accessories,"02/10/2021, 20:11:52",66% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/kfyasnk0/track-pant/g/5/y/s-19876-yorker-original-imafwamyzrwjynkf.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kfyasnk0/track-pant/g/5/y/s-19876-yorker-original-imafwamynyeuu5zq.jpeg?q=70']",FALSE,TKPFCZ9EJZV2UVRZ,"[{'Style Code': '1005BLUE'}, {'Closure': 'Drawstring, Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Blue'}]",Shyam Enterprises,499,Bottomwear,Solid Men Blue Track Pants,https://www.flipkart.com/yorker-solid-men-blue-track-pants/p/itmfczez7v6rzwer?pid=TKPFCZ9EJZV2UVRZ&lid=LSTTKPFCZ9EJZV2UVRZ9HEITU&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EJZV2UVRZ.SEARCH&ssid=utkd4t3gb40000001612415717799
1001,ec6ff32a-955a-5e9e-898b-fb0b6b9c6927,399,4.2,ANGI,Clothing and Accessories,"02/10/2021, 20:12:08",29% off,"These men's socks from Acort house give comfort to your feet while on the move. The heavy cushion embedded in these socks keeps your feet comfortable and relaxed all day. All our cotton socks are knitted using the most advanced and cutting edge machines, ensuring that every sock is well crafted and comfortable. These socks are made of 80% combed cotton, which ensures that the socks are soft and breathable so that your feet remain comfortable and fresh all day long. They are 40% thicker and heavier than regular socks and are able to absorb sweat better, making them ideal for sports, athletic and casual activities. The inbuilt mesh ventilation layer improves air flow and breathability for enhanced comfort. The socks are available in a pack of 4 and come in Beige, Grey, Blue and black colours.","['https://rukminim1.flixcart.com/image/128/128/keokpe80-0/sock/c/c/m/free-socks-4ab-angira-original-imafvaxkq5cfbssr.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/keokpe80-0/sock/e/x/n/free-socks-4ab-angira-original-imafvaxkqxbcynhz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/keokpe80-0/sock/v/o/n/free-socks-4ab-angira-original-imafvaxkzwnqkgta.jpeg?q=70']",FALSE,SOCFVCCYUDEN2AVH,"[{'Color': 'Multicolor'}, {'Pattern': 'Self Design'}, {'Ideal For': 'Men'}, {'Fabric': 'Cotton'}, {'Type': 'Ankle Length Socks'}, {'Series': 'Sport terry cotton socks'}, {'Number of Contents in Sales Package': 'Pack of 4'}, {'Style Code': 'Socks 4-AB'}, {' ': '4 Pair cotton sports socks'}, {'Generic Name': 'Socks'}, {'Country of Origin': 'India'}]",SH ENTERPRISE,280,Clothing Accessories,Men Self Design Ankle Length  (Pack of 4),https://www.flipkart.com/angira-men-self-design-ankle-length/p/itm895dfea460864?pid=SOCFVCCYUDEN2AVH&lid=LSTSOCFVCCYUDEN2AVHHF0OLU&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=7a7b2905-8b65-4885-8f8a-982ea715c421.SOCFVCCYUDEN2AVH.SEARCH&ssid=25mefaocw00000001612095730040
1001,087455fa-3de2-562a-8895-db3d220970bf,"2,469",4.3,,Clothing and Accessories,"02/10/2021, 20:12:09",79% off,"Provides you nu-Lite men Necktie, Pocket Square, Cufflink. The tie is often the centerpiece of the dress, it's important to choose your tie wisely. These fashion accessory kits are a way to step up your wardrobe and make the perfect gift (even if it's for yourself). Either it is or a formal occasion, our classy accessory set will never fail to add that touch of class to your personality. You can wear this for long hours without any discomfort. The tie has sophisticated design and colour. Comes with elegant primary packing, great choice for gifting purpose. Each set comes with:","['https://rukminim1.flixcart.com/image/128/128/kf75fgw0/cufflink-tie-pin/j/j/v/men-s-silk-necktie-set-with-pocket-square-lapel-pin-and-original-imafvp26zmzkqucy.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kf75fgw0/cufflink-tie-pin/j/j/v/men-s-silk-necktie-set-with-pocket-square-lapel-pin-and-original-imafvp26dapeyzhq.jpeg?q=70']",FALSE,CTPFVZTEMJWEJJJV,"[{'Model Name': ""Men's Silk Necktie Set with Pocket Square, Lapel Pin and Cufflinks""}, {'Style Code': 'nu-Lite_redorange_tie'}, {'Other Features': ""MATERIAL: Made of micro polyester with finest texture and elegant pattern which provide soft feel and glossy look and neck tie having length 60 inches and width 3 inches. QUALITY: This Rich styles in elegant design men's tie is high on quality and light in weight too. AMAZING GIFT IDEA: Comes inside a wooden box, These Axlon stylish ties for men can make the perfect gift for every man and for every occasion, so get this stunning necktie for your husband for your anniversary, your dad for Father’s Day, your brother for his birthday, your son for Christmas, or your boyfriend for Valentine’s Day and on many more occasion like Daily Dress, Birthday, Wedding, Engagement, Party, Business, Office, Meeting etc. CARE: Dry clean only. Never place ties in washer or dryer as this will ruin the fabric and damage the sewing of the tie. High density fabric,No fade,wrinkle resistance and easy to take care of.""}, {'Sales Package': '1 Tie with pocket square,Tie pin and cufflinks'}]",NextEdgeRetails,499,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Red),https://www.flipkart.com/nu-lite-satin-tie-cufflink/p/itmcaed1978977d4?pid=CTPFVZTEMJWEJJJV&lid=LSTCTPFVZTEMJWEJJJVKAOFY4&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=209b8c72-a320-461f-813b-921b3ed95f20.CTPFVZTEMJWEJJJV.SEARCH&ssid=ehshou28g00000001612116336097
1001,1846e0f1-db8a-5179-98f9-2bd753887cff,"2,599",4.3,,Clothing and Accessories,"02/10/2021, 20:12:10",80% off,"We NextEdgeRetails are a professional tie manufacturer. We focus on ties for many years and In our store, we have many other styles (neckties,bow ties,tie sets,etc.) for sell which are bound to meet your needs, you can click our brand name nu-Lite to choose. Our products are famous for their comfort, durability and design because of the reliable quality, our products have been highly favored of the majority of customers. Besides they also would be perfect gifts or excellent additions to your wardrobe as well as for all fashion forward men, this tie is going to be a perfect pick. Make your Monday meetings more fun with this tie and show the world your style. Wearing an elegant man tie is an effective way to make you look charming and energetic. Be stylish and make a new style statement with nu-Lite that includes a great range of formal/casual slim neckties with pocket square for men. These ties looks good with most shirts, winning you compliments wherever you go and it. Comes with elegant primary packing of wooden box, it's a great choice for gifting purpose. Material: Wrinkle-resistant with ultra-fine POLYESTER microfiber, looks and feels like silk and even more durable OCCASIONS: nu-Lite ties collection are great choices for formal, casual and less formal occasions, such as office events, dinner dates, and simple day to day activities and also for Wedding, Engagement, Prom Ball Party, Business, Office, Meeting, Birthday Gifts, Holiday Presents, Thanks Giving, Christmas, Events Dressing. HOW TO CARE: Dry Cleaning Recommended and Before the first use please use Low Temperature Ironing to smooth the wrinkles. NOTE: In case you don't like the ties simply send them back, our team is here for any question.","['https://rukminim1.flixcart.com/image/128/128/kf75fgw0/cufflink-tie-pin/f/c/5/men-s-micro-polyester-checkered-necktie-set-with-pocket-square-original-imafvp2bzvyfnhep.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kf75fgw0/cufflink-tie-pin/f/c/5/men-s-micro-polyester-checkered-necktie-set-with-pocket-square-original-imafvp2bq6hcynag.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kf75fgw0/cufflink-tie-pin/f/c/5/men-s-micro-polyester-checkered-necktie-set-with-pocket-square-original-imafvp2byk9azfjk.jpeg?q=70']",FALSE,CTPFVZHSA7G4PFC5,"[{'Model Name': ""Men's Micro Polyester Checkered Necktie Set with Pocket Square and Lapel Pin""}, {'Style Code': 'NL-Check-1'}, {'Other Features': 'AMAZING GIFT IDEA: Comes inside a wooden box, These nu-Lite stylish ties for men can make the perfect gift for every man and for every occasion, so get this stunning necktie for your husband for your anniversary, your dad for Father’s Day, your brother for his birthday, your son for Christmas, or your boyfriend for Valentine’s Day and on many more occasion like Daily Dress, Birthday, Wedding, Engagement, Party, Business, Office, Meeting etc. CARE: Dry clean only. Never place ties in washer or dryer as this will ruin the fabric and damage the sewing of the tie. High density fabric,No fade,wrinkle resistance and easy to take care of.'}, {'Sales Package': '1 Tie with other accessories.'}]",NextEdgeRetails,499,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Grey),https://www.flipkart.com/nu-lite-satin-tie-cufflink/p/itm257b695e341c7?pid=CTPFVZHSA7G4PFC5&lid=LSTCTPFVZHSA7G4PFC5MP7E3N&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=209b8c72-a320-461f-813b-921b3ed95f20.CTPFVZHSA7G4PFC5.SEARCH&ssid=ehshou28g00000001612116336097
1002,d85d1404-f4ff-5c58-ad2d-953200722135,2599,4.5,,Clothing and Accessories,"02/10/2021, 20:12:13",80% off,"We are professional tie manufacturer. We focus on ties for many years and In our store, we have many other styles (neckties,bow ties,tie sets,etc.) for sell which are bound to meet your needs, you can click our brand name nu-Lite to choose. Our products are famous for their comfort, durability and design because of the reliable quality, our products have been highly favored of the majority of customers. Besides they also would be perfect gifts or excellent additions to your wardrobe as well as for all fashion forward men, this tie is going to be a perfect pick. Make your Monday meetings more fun with this tie and show the world your style. Wearing an elegant man tie is an effective way to make you look charming and energetic. Be stylish and make a new style statement with nu-Lite that includes a great range of formal/casual slim neckties with pocket square for men. These ties looks good with most shirts, winning you compliments wherever you go and it. Comes with elegant primary packing of wooden box, it's a great choice for gifting purpose. Material: Wrinkle-resistant with ultra-fine POLYESTER microfiber, looks and feels like silk and even more durable OCCASIONS: nu-Lite ties collection are great choices for formal, casual and less formal occasions, such as office events, dinner dates, and simple day to day activities and also for Wedding, Engagement, Prom Ball Party, Business, Office, Meeting, Birthday Gifts, Holiday Presents, Thanks Giving, Christmas, Events Dressing. HOW TO CARE: Dry Cleaning Recommended and Before the first use please use Low Temperature Ironing to smooth the wrinkles. NOTE: In case you don't like the ties simply send them back, our team is here for any question.","['https://rukminim1.flixcart.com/image/128/128/kfbfr0w0/cufflink-tie-pin/e/h/d/men-s-micro-polyester-necktie-set-with-pocket-square-and-lapel-original-imafvt65cgf5eyph.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kfbfr0w0/cufflink-tie-pin/e/h/d/men-s-micro-polyester-necktie-set-with-pocket-square-and-lapel-original-imafvt657qzjjtna.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kfbfr0w0/cufflink-tie-pin/e/h/d/men-s-micro-polyester-necktie-set-with-pocket-square-and-lapel-original-imafvt65p4u3ufyw.jpeg?q=70']",FALSE,CTPFVSU7CXFCXEHD,"[{'Model Name': ""Men's Micro Polyester Necktie Set with Pocket Square and Lapel Pin""}, {'Style Code': 'NL-Micro-10'}, {'Sales Package': '1 Tie with other accessories.'}]",NextEdgeRetails,499,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Blue),https://www.flipkart.com/nu-lite-satin-tie-cufflink/p/itm745651f8fce17?pid=CTPFVSU7CXFCXEHD&lid=LSTCTPFVSU7CXFCXEHDH9H0MM&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=209b8c72-a320-461f-813b-921b3ed95f20.CTPFVSU7CXFCXEHD.SEARCH&ssid=ehshou28g00000001612116336097
1002,db53a2e8-3b7d-59fb-9aa9-f8c1b4492e7b,"3,299",4.3,,Clothing and Accessories,"02/10/2021, 20:12:14",72% off,"Wearing an elegant man tie is an effective way to make you look charming and energetic. nu-Lite includes an amazing range of formal/casual slim neckties with pocket square for men. Further the classy & stylish appeal of these ties will certainly appeal to all & is bound to turn all heads. Adding complementing pocket square will enhance overall attire. It looks great with any dress or button up shirt. We have an enormous selection of ties to choose from, you can find the most elegant necktie designs and colors for each season of the year. These ties looks good with most shirts, winning you compliments wherever you go. Comes with elegant primary packing, great choice for gifting purpose. Each set comes with:","['https://rukminim1.flixcart.com/image/128/128/kf75fgw0/cufflink-tie-pin/r/u/p/formal-casual-printed-polyester-necktie-set-with-pocket-square-original-imafvp263pyqauzh.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kf75fgw0/cufflink-tie-pin/r/u/p/formal-casual-printed-polyester-necktie-set-with-pocket-square-original-imafvp2656hhwwyq.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kf75fgw0/cufflink-tie-pin/r/u/p/formal-casual-printed-polyester-necktie-set-with-pocket-square-original-imafvp26zgrhc3yj.jpeg?q=70']",FALSE,CTPFVZT7EFZWVRUP,"[{'Model Name': 'Formal/Casual Printed Polyester Necktie Set with Pocket Square, Lapel Pin and Cufflinks for Men'}, {'Style Code': 'nu-Lite_Tie_10'}, {'Other Features': ""Slim tie having length 60 inches and width 3 inches. Made of polyester fabric, this men's tie is high on quality and light in weight too. It can be the best gift for yourself and friends. Care Instructions: Gentle Hand Wash. Great to wear for formal events, weddings bells, parties so you can stand out in the crowd""}, {'Sales Package': '1 Tie with pocket square,Tie pin and cufflinks'}]",NextEdgeRetails,899,Clothing Accessories,nu-Lite Satin Tie & Cufflink  (Blue),https://www.flipkart.com/nu-lite-satin-tie-cufflink/p/itm7a62287f4080b?pid=CTPFVZT7EFZWVRUP&lid=LSTCTPFVZT7EFZWVRUP78RSFY&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=209b8c72-a320-461f-813b-921b3ed95f20.CTPFVZT7EFZWVRUP.SEARCH&ssid=ehshou28g00000001612116336097
1002,26d4373c-6e5a-5106-bd31-07175e83a8c9,"2,199",3.7,Man,Clothing and Accessories,"02/10/2021, 20:13:01",81% off,"MANRA present you stylish wollen ponchos, shawls,Cardgan, Pullovers which can be wear in any occasions(party ,work,festival etc).Stay warm and look stylish this winter         in our new collection of woolen poncho  for you. All the designs are specially crafted. PONCHO IS A SOFT 'FINE KNIT WITH A NECK LACE AND OPEN SIDES.          Made from the fine quality of acrylic wool,it gives you a cozy and soft  feel all day  long .IT is a free size garment fits from medium to xxl size .","['https://rukminim1.flixcart.com/image/128/128/kirr24w0-0/sweater/g/6/b/l-men-zipper-design-dark-grey-100-2-manra-original-imafyhnfmm4hvaha.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kirr24w0-0/sweater/f/x/y/l-men-zipper-design-dark-grey-100-2-manra-original-imafyhnfsrkayzkc.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kirr24w0-0/sweater/y/t/f/l-men-zipper-design-dark-grey-100-2-manra-original-imafyhnf6kte6fah.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kirr24w0-0/sweater/v/u/u/l-men-zipper-design-dark-grey-100-2-manra-original-imafyhnfyg5fx7by.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kirr24w0-0/sweater/r/c/3/l-men-zipper-design-dark-grey-100-2-manra-original-imafyhnfgsnxpqb5.jpeg?q=70']",FALSE,SWTFYHNFFQMQ5PHC,"[{'Color': 'Grey, Black'}, {'Fabric': 'Wool Blend'}, {'Neck': 'Collared Neck'}, {'Pattern': 'Striped'}, {'Sleeve': 'Full Sleeve'}, {'Style Code': 'MEN ZIPPER DESIGN DARK GREY 100/2'}, {'Suitable For': 'Western Wear'}, {'Closure': 'Zipper'}, {'Fabric Care': 'Cold Water Wash Only'}, {'Pack of': '1'}, {'Ideal For': 'Men'}, {'Generic Name': 'Sweater'}, {'Country of Origin': 'India'}]",SHAKTICREATION,399,Winter Wear,"Striped Collared Neck Casual Men Grey, Black Sweater",https://www.flipkart.com/manra-striped-collared-neck-casual-men-grey-black-sweater/p/itmae929da2e3a86?pid=SWTFYHNFFQMQ5PHC&lid=LSTSWTFYHNFFQMQ5PHCUYUAVC&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=0f3b6d48-c1ad-4725-8feb-92f5d8321831.SWTFYHNFFQMQ5PHC.SEARCH&ssid=14u56zojjk0000001612113908106
